id,name,group,section,provisional,country,url,image,pdf
1,ENGLISCHER POINTER,Vorstehhunde,Britische und Irische Vorstehhunde,,GROßBRITANNIEN,https://www.fci.be/de/nomenclature/ENGLISCHER-POINTER-1.html,https://www.fci.be/Nomenclature/Illustrations/001g07.jpg,https://www.fci.be/Nomenclature/Standards/001g07-de.pdf
2,ENGLISCHER SETTER,Vorstehhunde,Britische und Irische Vorstehhunde,,GROßBRITANNIEN,https://www.fci.be/de/nomenclature/ENGLISCHER-SETTER-2.html,https://www.fci.be/Nomenclature/Illustrations/002g07.jpg,https://www.fci.be/Nomenclature/Standards/002g07-de.pdf
3,KERRY BLUE TERRIER,Terrier,Hochläufige Terrier,,IRLAND,https://www.fci.be/de/nomenclature/KERRY-BLUE-TERRIER-3.html,,https://www.fci.be/Nomenclature/Standards/003g03-de.pdf
4,CAIRN TERRIER,Terrier,Niederläufige Terrier,,GROßBRITANNIEN,https://www.fci.be/de/nomenclature/CAIRN-TERRIER-4.html,https://www.fci.be/Nomenclature/Illustrations/004g03.jpg,https://www.fci.be/Nomenclature/Standards/004g03-de.pdf
5,ENGLISH COCKER SPANIEL,Apportierhunde,Stöberhunde,,GROßBRITANNIEN,https://www.fci.be/de/nomenclature/ENGLISH-COCKER-SPANIEL-5.html,https://www.fci.be/Nomenclature/Illustrations/005g08.jpg,https://www.fci.be/Nomenclature/Standards/005g08-de.pdf
6,GORDON SETTER,Vorstehhunde,Britische und Irische Vorstehhunde,,GROßBRITANNIEN,https://www.fci.be/de/nomenclature/GORDON-SETTER-6.html,https://www.fci.be/Nomenclature/Illustrations/006g07.jpg,https://www.fci.be/Nomenclature/Standards/006g07-de.pdf
7,AIREDALE TERRIER,Terrier,Hochläufige Terrier,,GROßBRITANNIEN,https://www.fci.be/de/nomenclature/AIREDALE-TERRIER-7.html,https://www.fci.be/Nomenclature/Illustrations/007g03.jpg,https://www.fci.be/Nomenclature/Standards/007g03-de.pdf
8,AUSTRALIAN TERRIER,Terrier,Niederläufige Terrier,,AUSTRALIEN,https://www.fci.be/de/nomenclature/AUSTRALIAN-TERRIER-8.html,https://www.fci.be/Nomenclature/Illustrations/008g03.jpg,https://www.fci.be/Nomenclature/Standards/008g03-de.pdf
9,BEDLINGTON TERRIER,Terrier,Hochläufige Terrier,,GROßBRITANNIEN,https://www.fci.be/de/nomenclature/BEDLINGTON-TERRIER-9.html,https://www.fci.be/Nomenclature/Illustrations/009g03.jpg,https://www.fci.be/Nomenclature/Standards/009g03-de.pdf
10,BORDER TERRIER,Terrier,Hochläufige Terrier,,GROßBRITANNIEN,https://www.fci.be/de/nomenclature/BORDER-TERRIER-10.html,https://www.fci.be/Nomenclature/Illustrations/010g03.jpg,https://www.fci.be/Nomenclature/Standards/010g03-de.pdf
11,BULL TERRIER,Terrier,Bullartige Terrier,,GROßBRITANNIEN,https://www.fci.be/de/nomenclature/BULL-TERRIER-11.html,https://www.fci.be/Nomenclature/Illustrations/011g03.jpg,https://www.fci.be/Nomenclature/Standards/011g03-de.pdf
12,FOX TERRIER (GLATTHAAR),Terrier,Hochläufige Terrier,,GROßBRITANNIEN,https://www.fci.be/de/nomenclature/FOX-TERRIER-GLATTHAAR-12.html,https://www.fci.be/Nomenclature/Illustrations/012g03.jpg,https://www.fci.be/Nomenclature/Standards/012g03-de.pdf
13,ENGLISCHER TOY TERRIER (SCHWARZ UND LOH),Terrier,Zwerg-Terriers,,GROßBRITANNIEN,https://www.fci.be/de/nomenclature/ENGLISCHER-TOY-TERRIER-SCHWARZ-UND-LOH-13.html,https://www.fci.be/Nomenclature/Illustrations/013g03.jpg,https://www.fci.be/Nomenclature/Standards/013g03-de.pdf
14,SCHWEDISCHER WALLHUND,Spitze und Hunde vom Urtyp,Nordische Wach- und Hütehunde,,SCHWEDEN,https://www.fci.be/de/nomenclature/SCHWEDISCHER-WALLHUND-14.html,https://www.fci.be/Nomenclature/Illustrations/014g05.jpg,https://www.fci.be/Nomenclature/Standards/014g05-de.pdf
15,BELGISCHER SCHÄFERHUND,Hütehunde und Treibhunde,Schäferhunde,,BELGIEN,https://www.fci.be/de/nomenclature/BELGISCHER-SCHAFERHUND-15.html,,https://www.fci.be/Nomenclature/Standards/015g01-de.pdf
16,ALTENGLISCHER SCHAFERHUND,Hütehunde und Treibhunde,Schäferhunde,,GROßBRITANNIEN,https://www.fci.be/de/nomenclature/ALTENGLISCHER-SCHAFERHUND-16.html,https://www.fci.be/Nomenclature/Illustrations/016g01.jpg,https://www.fci.be/Nomenclature/Standards/016g01-de.pdf
17,GRIFFON NIVERNAIS,"Laufhunde, Schweisshunde und verwandte Rassen",Laufhunde,,FRANKREICH,https://www.fci.be/de/nomenclature/GRIFFON-NIVERNAIS-17.html,https://www.fci.be/Nomenclature/Illustrations/017g06.jpg,https://www.fci.be/Nomenclature/Standards/017g06-de.pdf
19,BRIQUET GRIFFON VENDEEN,"Laufhunde, Schweisshunde und verwandte Rassen",Laufhunde,,FRANKREICH,https://www.fci.be/de/nomenclature/BRIQUET-GRIFFON-VENDEEN-19.html,https://www.fci.be/Nomenclature/Illustrations/019g06.jpg,https://www.fci.be/Nomenclature/Standards/019g06-de.pdf
20,ARIEGEOIS,"Laufhunde, Schweisshunde und verwandte Rassen",Laufhunde,,FRANKREICH,https://www.fci.be/de/nomenclature/ARIEGEOIS-20.html,https://www.fci.be/Nomenclature/Illustrations/020g06.jpg,https://www.fci.be/Nomenclature/Standards/020g06-de.pdf
21,GASCON SAINTONGEOIS,"Laufhunde, Schweisshunde und verwandte Rassen",Laufhunde,,FRANKREICH,https://www.fci.be/de/nomenclature/GASCON-SAINTONGEOIS-21.html,https://www.fci.be/Nomenclature/Illustrations/021g06-1.jpg,https://www.fci.be/Nomenclature/Standards/021g06-de.pdf
22,GROSSER BLAUER GASCOGNE-LAUFHUND,"Laufhunde, Schweisshunde und verwandte Rassen",Laufhunde,,FRANKREICH,https://www.fci.be/de/nomenclature/GROSSER-BLAUER-GASCOGNE-LAUFHUND-22.html,https://www.fci.be/Nomenclature/Illustrations/022g06.jpg,https://www.fci.be/Nomenclature/Standards/022g06-de.pdf
24,POITEVIN,"Laufhunde, Schweisshunde und verwandte Rassen",Laufhunde,,FRANKREICH,https://www.fci.be/de/nomenclature/POITEVIN-24.html,https://www.fci.be/Nomenclature/Illustrations/024g06.jpg,https://www.fci.be/Nomenclature/Standards/024g06-de.pdf
