id,name,group,section,provisional,country,url,image,pdf
1,POINTER INGLÉS,Perros de muestra,Perros de muestra ingleses e irlandeses,,REINO UNIDO,https://www.fci.be/es/nomenclature/POINTER-INGLES-1.html,https://www.fci.be/Nomenclature/Illustrations/001g07.jpg,https://www.fci.be/Nomenclature/Standards/001g07-es.pdf
2,SETTER INGLÉS,Perros de muestra,Perros de muestra ingleses e irlandeses,,REINO UNIDO,https://www.fci.be/es/nomenclature/SETTER-INGLES-2.html,https://www.fci.be/Nomenclature/Illustrations/002g07.jpg,https://www.fci.be/Nomenclature/Standards/002g07-es.pdf
3,KERRY BLUE TERRIER,Terriers,Terriers de talla grande y media,,IRLANDA,https://www.fci.be/es/nomenclature/KERRY-BLUE-TERRIER-3.html,,https://www.fci.be/Nomenclature/Standards/003g03-es.pdf
4,CAIRN TERRIER,Terriers,Terriers de talla pequeña,,REINO UNIDO,https://www.fci.be/es/nomenclature/CAIRN-TERRIER-4.html,https://www.fci.be/Nomenclature/Illustrations/004g03.jpg,https://www.fci.be/Nomenclature/Standards/004g03-es.pdf
5,COCKER SPANIEL INGLÉS,Perros cobradores de caza,Perros levantadores de caza,,REINO UNIDO,https://www.fci.be/es/nomenclature/COCKER-SPANIEL-INGLES-5.html,https://www.fci.be/Nomenclature/Illustrations/005g08.jpg,https://www.fci.be/Nomenclature/Standards/005g08-es.pdf
6,GORDON SETTER,Perros de muestra,Perros de muestra ingleses e irlandeses,,REINO UNIDO,https://www.fci.be/es/nomenclature/GORDON-SETTER-6.html,https://www.fci.be/Nomenclature/Illustrations/006g07.jpg,https://www.fci.be/Nomenclature/Standards/006g07-es.pdf
7,AIREDALE TERRIER,Terriers,Terriers de talla grande y media,,REINO UNIDO,https://www.fci.be/es/nomenclature/AIREDALE-TERRIER-7.html,https://www.fci.be/Nomenclature/Illustrations/007g03.jpg,https://www.fci.be/Nomenclature/Standards/007g03-es.pdf
8,AUSTRALIAN TERRIER,Terriers,Terriers de talla pequeña,,AUSTRALIA,https://www.fci.be/es/nomenclature/AUSTRALIAN-TERRIER-8.html,https://www.fci.be/Nomenclature/Illustrations/008g03.jpg,https://www.fci.be/Nomenclature/Standards/008g03-es.pdf
9,BEDLINGTON TERRIER,Terriers,Terriers de talla grande y media,,REINO UNIDO,https://www.fci.be/es/nomenclature/BEDLINGTON-TERRIER-9.html,https://www.fci.be/Nomenclature/Illustrations/009g03.jpg,https://www.fci.be/Nomenclature/Standards/009g03-es.pdf
10,BORDER TERRIER,Terriers,Terriers de talla grande y media,,REINO UNIDO,https://www.fci.be/es/nomenclature/BORDER-TERRIER-10.html,https://www.fci.be/Nomenclature/Illustrations/010g03.jpg,https://www.fci.be/Nomenclature/Standards/010g03-es.pdf
11,BULL TERRIER,Terriers,Terriers de tipo bull,,REINO UNIDO,https://www.fci.be/es/nomenclature/BULL-TERRIER-11.html,https://www.fci.be/Nomenclature/Illustrations/011g03.jpg,https://www.fci.be/Nomenclature/Standards/011g03-es.pdf
12,FOX TERRIER DE PELO LISO,Terriers,Terriers de talla grande y media,,REINO UNIDO,https://www.fci.be/es/nomenclature/FOX-TERRIER-DE-PELO-LISO-12.html,https://www.fci.be/Nomenclature/Illustrations/012g03.jpg,https://www.fci.be/Nomenclature/Standards/012g03-es.pdf
