id,name,group,section,provisional,country,url,image,pdf
1,POINTER ANGLAIS,Chiens d'arrêt,Chiens d'arrêt britanniques et irlandais,,GRANDE-BRETAGNE,https://www.fci.be/fr/nomenclature/POINTER-ANGLAIS-1.html,https://www.fci.be/Nomenclature/Illustrations/001g07.jpg,https://www.fci.be/Nomenclature/Standards/001g07-fr.pdf
2,SETTER ANGLAIS,Chiens d'arrêt,Chiens d'arrêt britanniques et irlandais,,GRANDE-BRETAGNE,https://www.fci.be/fr/nomenclature/SETTER-ANGLAIS-2.html,https://www.fci.be/Nomenclature/Illustrations/002g07.jpg,https://www.fci.be/Nomenclature/Standards/002g07-fr.pdf
3,TERRIER KERRY BLUE,Terriers,Terriers de grande et moyenne taille,,IRLANDE,https://www.fci.be/fr/nomenclature/TERRIER-KERRY-BLUE-3.html,,https://www.fci.be/Nomenclature/Standards/003g03-fr.pdf
4,CAIRN TERRIER,Terriers,Terriers de petite taille,,GRANDE-BRETAGNE,https://www.fci.be/fr/nomenclature/CAIRN-TERRIER-4.html,https://www.fci.be/Nomenclature/Illustrations/004g03.jpg,https://www.fci.be/Nomenclature/Standards/004g03-fr.pdf
5,COCKER SPANIEL ANGLAIS,Chiens rapporteurs de gibier,Chiens leveurs de gibier et broussailleurs,,GRANDE-BRETAGNE,https://www.fci.be/fr/nomenclature/COCKER-SPANIEL-ANGLAIS-5.html,https://www.fci.be/Nomenclature/Illustrations/005g08.jpg,https://www.fci.be/Nomenclature/Standards/005g08-fr.pdf
6,SETTER GORDON,Chiens d'arrêt,Chiens d'arrêt britanniques et irlandais,,GRANDE-BRETAGNE,https://www.fci.be/fr/nomenclature/SETTER-GORDON-6.html,https://www.fci.be/Nomenclature/Illustrations/006g07.jpg,https://www.fci.be/Nomenclature/Standards/006g07-fr.pdf
7,AIREDALE TERRIER,Terriers,Terriers de grande et moyenne taille,,GRANDE-BRETAGNE,https://www.fci.be/fr/nomenclature/AIREDALE-TERRIER-7.html,https://www.fci.be/Nomenclature/Illustrations/007g03.jpg,https://www.fci.be/Nomenclature/Standards/007g03-fr.pdf
8,TERRIER AUSTRALIEN,Terriers,Terriers de petite taille,,AUSTRALIE,https://www.fci.be/fr/nomenclature/TERRIER-AUSTRALIEN-8.html,https://www.fci.be/Nomenclature/Illustrations/008g03.jpg,https://www.fci.be/Nomenclature/Standards/008g03-fr.pdf
9,TERRIER DE BEDLINGTON,Terriers,Terriers de grande et moyenne taille,,GRANDE-BRETAGNE,https://www.fci.be/fr/nomenclature/TERRIER-DE-BEDLINGTON-9.html,https://www.fci.be/Nomenclature/Illustrations/009g03.jpg,https://www.fci.be/Nomenclature/Standards/009g03-fr.pdf
10,BORDER TERRIER,Terriers,Terriers de grande et moyenne taille,,GRANDE-BRETAGNE,https://www.fci.be/fr/nomenclature/BORDER-TERRIER-10.html,https://www.fci.be/Nomenclature/Illustrations/010g03.jpg,https://www.fci.be/Nomenclature/Standards/010g03-fr.pdf
