id,name,group,section,provisional,country,url,image,pdf
1,Англійський Пойнтер,Лягаві Собаки,Британські та Ірландські Пойнтери і Сетери,,Great Britain,https://uku.com.ua/plem_work/breed_fci/07.html,,
2,Англійський Сетер,Лягаві Собаки,Британські та Ірландські Пойнтери і Сетери,,Great Britain,https://uku.com.ua/plem_work/breed_fci/07.html,,
3,Кері Блу Тер’єр,Тер’єри,Тер’єри великого та середнього розмірів,,Ireland,https://uku.com.ua/plem_work/breed_fci/03.html,,
4,Керн Тер’єр,Тер’єри,Тер’єри малого розміру,,Great Britain,https://uku.com.ua/plem_work/breed_fci/03.html,,
5,Англійський Кокер Спанієль,Ретривери - Спанієлі - Водяні Собаки,Спанієлі,,Great Britain,https://uku.com.ua/plem_work/breed_fci/08.html,,
6,Шотландський Сетер,Лягаві Собаки,Британські та Ірландські Пойнтери і Сетери,,Great Britain,https://uku.com.ua/plem_work/breed_fci/07.html,,
7,Ердельтер’єр,Тер’єри,Тер’єри великого та середнього розмірів,,Great Britain,https://uku.com.ua/plem_work/breed_fci/03.html,,
8,Австралійський Тер’єр,Тер’єри,Тер’єри малого розміру,,Australia,https://uku.com.ua/plem_work/breed_fci/03.html,,
9,Бедлінгтон Тер’єр,Тер’єри,Тер’єри великого та середнього розмірів,,Great Britain,https://uku.com.ua/plem_work/breed_fci/03.html,,
10,Бордер Тер’єр,Тер’єри,Тер’єри великого та середнього розмірів,,Great Britain,https://uku.com.ua/plem_work/breed_fci/03.html,,
11,Бультер’єр,Тер’єри,Тер’єри типу Буль,,Great Britain,https://uku.com.ua/plem_work/breed_fci/03.html,,
12,Фокстер’єр гладкошерстий,Тер’єри,Тер’єри великого та середнього розмірів,,Great Britain,https://uku.com.ua/plem_work/breed_fci/03.html,,
13,Англійський Той Тер’єр,Тер’єри,Той Тер’єри,,Great Britain,https://uku.com.ua/plem_work/breed_fci/03.html,,
14,Шведський Валхунд (Вестгоцький Шпіц),Шпіци та собаки примітивного типу,Північні Сторожові та Пастуші Собаки,,Sweden,https://uku.com.ua/plem_work/breed_fci/05.html,,
15,Бельгійська Вівчарка,Пастуші собаки (вівчарки) та скотогонні собаки (крім швейцарських скотогонних собак),Пастуші собаки (вівчарки),,Belgium,https://uku.com.ua/plem_work/breed_fci/01.html,,
16,Староанглійська Вівчарка (Бобтейл),Пастуші собаки (вівчарки) та скотогонні собаки (крім швейцарських скотогонних собак),Пастуші собаки (вівчарки),,Great Britain,https://uku.com.ua/plem_work/breed_fci/01.html,,
17,Нівернський Грифон,Гончаки по кров’яному сліду та споріднені породи,Гончаки по кров’яному сліду,,France,https://uku.com.ua/plem_work/breed_fci/06.html,,
19,Вандейський Грифон - Бріке,Гончаки по кров’яному сліду та споріднені породи,Гончаки по кров’яному сліду,,France,https://uku.com.ua/plem_work/breed_fci/06.html,,
20,Ар’єзький Гончак,Гончаки по кров’яному сліду та споріднені породи,Гончаки по кров’яному сліду,,France,https://uku.com.ua/plem_work/breed_fci/06.html,,
21,Гасконський Сентонжуа,Гончаки по кров’яному сліду та споріднені породи,Гончаки по кров’яному сліду,,France,https://uku.com.ua/plem_work/breed_fci/06.html,,
22,Великий Блакитний Гасконський Гончак,Гончаки по кров’яному сліду та споріднені породи,Гончаки по кров’яному сліду,,France,https://uku.com.ua/plem_work/breed_fci/06.html,,
24,Пуатвен,Гончаки по кров’яному сліду та споріднені породи,Гончаки по кров’яному сліду,,France,https://uku.com.ua/plem_work/breed_fci/06.html,,
25,Біллі,Гончаки по кров’яному сліду та споріднені породи,Гончаки по кров’яному сліду,,France,https://uku.com.ua/plem_work/breed_fci/06.html,,
28,Артуазький Гончак,Гончаки по кров’яному сліду та споріднені породи,Гончаки по кров’яному сліду,,France,https://uku.com.ua/plem_work/breed_fci/06.html,,
30,Порселен - Порцеляновий Собака,Гончаки по кров’яному сліду та споріднені породи,Гончаки по кров’яному сліду,,France,https://uku.com.ua/plem_work/breed_fci/06.html,,
31,Малий Блакитний Гасконський Гончак,Гончаки по кров’яному сліду та споріднені породи,Гончаки по кров’яному сліду,,France,https://uku.com.ua/plem_work/breed_fci/06.html,,
32,Блакитний Гасконський Грифон,Гончаки по кров’яному сліду та споріднені породи,Гончаки по кров’яному сліду,,France,https://uku.com.ua/plem_work/breed_fci/06.html,,
33,Великий Вандейський Басет Грифон,Гончаки по кров’яному сліду та споріднені породи,Гончаки по кров’яному сліду,,France,https://uku.com.ua/plem_work/breed_fci/06.html,,
