id,name,group,section,provisional,country,url,image,pdf
1,ENGLISH POINTER,Pointing Dogs,British and Irish Pointers and Setters,,GREAT BRITAIN,https://www.fci.be/en/nomenclature/ENGLISH-POINTER-1.html,https://www.fci.be/Nomenclature/Illustrations/001g07.jpg,https://www.fci.be/Nomenclature/Standards/001g07-en.pdf
2,ENGLISH SETTER,Pointing Dogs,British and Irish Pointers and Setters,,GREAT BRITAIN,https://www.fci.be/en/nomenclature/ENGLISH-SETTER-2.html,https://www.fci.be/Nomenclature/Illustrations/002g07.jpg,https://www.fci.be/Nomenclature/Standards/002g07-en.pdf
3,KERRY BLUE TERRIER,Terriers,Large and medium sized Terriers,,IRELAND,https://www.fci.be/en/nomenclature/KERRY-BLUE-TERRIER-3.html,,https://www.fci.be/Nomenclature/Standards/003g03-en.pdf
4,CAIRN TERRIER,Terriers,Small sized Terriers,,GREAT BRITAIN,https://www.fci.be/en/nomenclature/CAIRN-TERRIER-4.html,https://www.fci.be/Nomenclature/Illustrations/004g03.jpg,https://www.fci.be/Nomenclature/Standards/004g03-en.pdf
5,ENGLISH COCKER SPANIEL,Retrievers,Flushing Dogs,,GREAT BRITAIN,https://www.fci.be/en/nomenclature/ENGLISH-COCKER-SPANIEL-5.html,https://www.fci.be/Nomenclature/Illustrations/005g08.jpg,https://www.fci.be/Nomenclature/Standards/005g08-en.pdf
6,GORDON SETTER,Pointing Dogs,British and Irish Pointers and Setters,,GREAT BRITAIN,https://www.fci.be/en/nomenclature/GORDON-SETTER-6.html,https://www.fci.be/Nomenclature/Illustrations/006g07.jpg,https://www.fci.be/Nomenclature/Standards/006g07-en.pdf
7,AIREDALE TERRIER,Terriers,Large and medium sized Terriers,,GREAT BRITAIN,https://www.fci.be/en/nomenclature/AIREDALE-TERRIER-7.html,https://www.fci.be/Nomenclature/Illustrations/007g03.jpg,https://www.fci.be/Nomenclature/Standards/007g03-en.pdf
8,AUSTRALIAN TERRIER,Terriers,Small sized Terriers,,AUSTRALIA,https://www.fci.be/en/nomenclature/AUSTRALIAN-TERRIER-8.html,https://www.fci.be/Nomenclature/Illustrations/008g03.jpg,https://www.fci.be/Nomenclature/Standards/008g03-en.pdf
9,BEDLINGTON TERRIER,Terriers,Large and medium sized Terriers,,GREAT BRITAIN,https://www.fci.be/en/nomenclature/BEDLINGTON-TERRIER-9.html,https://www.fci.be/Nomenclature/Illustrations/009g03.jpg,https://www.fci.be/Nomenclature/Standards/009g03-en.pdf
10,BORDER TERRIER,Terriers,Large and medium sized Terriers,,GREAT BRITAIN,https://www.fci.be/en/nomenclature/BORDER-TERRIER-10.html,https://www.fci.be/Nomenclature/Illustrations/010g03.jpg,https://www.fci.be/Nomenclature/Standards/010g03-en.pdf
